#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
122.396914,2001,3.20247
144.429942,2001,5.437198
176.887694,2001,7.567522
50.472901,2001,9.714643
249.091111,2001,14.828581
140.376216,2001,16.95979
301.340533,2001,19.06017
328.183398,2001,21.189868
324.998071,2001,23.749258
330.776112,2001,27.998254
344.626089,2001,30.576558
300.224489,2001,32.82452
361.380791,2001,35.591199
275.326919,2001,37.719661
336.961758,2001,42.151564
350.159488,2001,44.242101
269.592164,2001,46.800506
367.068745,2001,48.882347
332.368658,2001,50.949106
296.20534,2001,55.107223
252.45782,2001,57.738052
335.748139,2001,60.227185
344.5977,2001,62.42264
315.256402,2001,64.499656
385.205783,2001,69.189181
286.647005,2001,71.292447
304.111819,2001,73.384303
349.068278,2001,75.444266
366.570478,2001,77.993197
368.74957,2001,82.196224
387.941999,2001,84.296686
409.681105,2001,86.361701
376.128217,2001,88.903292
343.609709,2001,91.291376
410.140213,2001,95.483524
371.069727,2001,97.598994
345.287119,2001,100.176567
483.305132,2001,102.269785
430.444865,2001,104.357514
422.130477,2001,108.542219
355.196458,2001,111.058793
424.142864,2001,113.235914
437.802702,2001,115.307836
402.234565,2001,117.374373
454.033346,2001,121.677844
479.387618,2001,124.452845
349.69269,2001,126.496275
386.785276,2001,128.5567
367.435079,2001,130.602949
460.895612,2001,135.244504
493.117696,2001,137.327186
421.405228,2001,139.394113
383.624856,2001,141.437951
493.430995,2001,144.0303
540.354911,2001,148.148458
501.273842,2001,150.251932
515.074114,2001,152.439157
516.868197,2001,155.169683
460.53863,2001,157.212618
497.222544,2001,161.329168
460.537018,2001,163.432977
490.201264,2001,165.981826
432.584747,2001,168.062382
464.178655,2001,170.127714
502.043745,2001,174.23609
461.119464,2001,176.76386
453.971199,2001,178.924087
476.139188,2001,180.990071
485.277788,2001,183.320337
503.127911,2001,187.983753
399.676815,2001,190.09274
486.027828,2001,192.135189
501.044927,2001,194.177236
453.054326,2001,196.681757
493.156618,2001,200.855335
544.225871,2001,202.98102
462.656905,2001,205.031053
559.876852,2001,207.549561
463.895107,2001,209.621815
527.346894,2001,213.990332
559.544559,2001,216.140997
473.927156,2001,218.590268
488.159411,2001,220.674372
513.069459,2001,222.734881
534.74805,2001,226.86574
544.621889,2001,229.331813
551.075891,2001,231.462959
524.686102,2001,233.4962
588.686321,2001,235.528307
583.696105,2001,239.66384
504.087989,2001,242.201466
530.061755,2001,244.559713
576.135138,2001,246.710819
605.760224,2001,248.739179
552.955869,2001,253.333313
475.677275,2001,255.390599
528.33293,2001,257.455701
535.903003,2001,259.488411
572.738621,2001,262.050147
514.586664,2001,266.153972
556.945774,2001,268.24461
277.280514,2001,270.304204
585.41988,2001,272.843432
531.941652,2001,275.258193
588.183632,2001,279.392411
550.365622,2001,281.457479
520.549806,2001,283.960438
527.365552,2001,286.026944
472.813666,2001,288.103029
519.934168,2001,292.200673
503.362248,2001,294.743598
549.905163,2001,296.814284
534.250671,2001,298.895532
514.253501,2001,300.941447
562.139028,2001,305.874481
509.281262,2001,307.942307
556.78497,2001,310.004733
563.010383,2001,312.034502
